  Time            lo        
HH:MM:SS   KB/s in  KB/s out
09:14:11   9405.94   9405.94
09:14:11  14655.38  14655.38
09:14:11  13525.32  13525.32
09:14:11  12939.80  12939.80
09:14:11  12865.99  12865.99
09:14:11  13934.32  13934.32
09:14:11  14734.91  14734.91
09:14:11  16572.13  16572.13
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
09:14:11  15303.91  15303.91
09:14:11  15690.98  15690.98
09:14:12  16120.22  16120.22
09:14:12  16574.68  16574.68
09:14:12  15156.93  15156.93
09:14:12  16242.86  16242.86
09:14:12  16227.72  16227.72
09:14:12  14337.65  14337.65
09:14:12  14337.22  14337.22
09:14:12  13027.47  13027.47
09:14:12  14752.76  14752.76
09:14:12  14891.73  14891.73
09:14:13  14499.29  14499.29
09:14:13  14782.75  14782.75
09:14:13  15251.07  15251.07
09:14:13  14714.56  14714.56
09:14:13  13437.90  13437.90
09:14:13  15857.39  15857.39
09:14:13  13855.36  13855.36
09:14:13  13510.34  13510.34
09:14:13  12866.84  12866.84
09:14:13  12762.86  12762.86
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
09:14:14  13621.95  13621.95
09:14:14  15737.51  15737.51
09:14:14  15293.68  15293.68
09:14:14  14589.76  14589.76
09:14:14  16530.11  16530.11
09:14:14  15028.02  15028.02
09:14:14  16345.12  16345.12
09:14:14  15869.72  15869.72
09:14:14  16833.96  16833.96
09:14:14  15485.73  15485.73
09:14:15   7306.92   7306.92
