  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:26      0.00      0.00
16:00:26      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:27      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
16:00:28      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:29      0.00      0.00
16:00:30      0.00      0.00
16:00:30      0.00      0.00
16:00:30      0.00      0.00
16:00:30      0.00      0.00
16:00:30    111.87    632.40
16:00:30    447.86   3335.37
16:00:30    457.56   3413.13
16:00:30    462.51   3444.50
16:00:30    464.90   3456.76
16:00:30    444.31   3308.97
16:00:31    421.84   3141.57
16:00:31    443.50   3302.89
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:31    457.72   3408.77
16:00:31    459.10   3419.06
16:00:31    459.79   3429.74
16:00:31    433.68   3224.27
16:00:31    434.58   3236.49
16:00:31    462.47   3449.66
16:00:31    460.94   3427.25
16:00:31    454.40   3389.62
16:00:32    460.43   3423.48
16:00:32    364.20   2712.32
16:00:32    408.10   3044.76
16:00:32    460.35   3428.37
16:00:32    464.87   3456.52
16:00:32    426.54   3182.12
16:00:32    458.01   3405.48
16:00:32    434.06   3232.59
16:00:32    454.62   3385.70
16:00:32    455.35   3391.18
16:00:33    452.35   3368.79
16:00:33    430.15   3203.51
16:00:33    453.01   3373.73
16:00:33    426.82   3178.70
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:33    427.12   3180.91
16:00:33    455.14   3389.62
16:00:33    459.07   3418.85
16:00:33    459.03   3418.54
16:00:33    410.02   3059.11
16:00:33    431.57   3208.57
16:00:34    425.00   3165.10
16:00:34    444.95   3313.68
16:00:34    453.49   3377.33
16:00:34    458.93   3417.79
16:00:34    461.51   3442.56
16:00:34    411.65   3060.21
16:00:34    429.44   3198.18
16:00:34    463.65   3453.00
16:00:34    457.65   3408.30
16:00:34    461.11   3434.09
16:00:35    454.02   3386.78
16:00:35    409.70   3045.70
16:00:35    432.03   3217.48
16:00:35    462.05   3441.08
16:00:35    458.99   3418.27
16:00:35    406.27   3025.68
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:35    461.35   3435.87
16:00:35    434.06   3232.62
16:00:35    442.59   3301.63
16:00:35    459.95   3419.87
16:00:36    453.67   3378.63
16:00:36    438.27   3263.99
16:00:36    456.75   3401.59
16:00:36    433.85   3231.04
16:00:36    445.70   3319.26
16:00:36    459.88   3424.88
16:00:36    460.76   3436.97
16:00:36    458.74   3410.89
16:00:36    456.98   3403.33
16:00:36    432.52   3226.66
16:00:37    428.44   3185.22
16:00:37    394.51   2938.05
16:00:37    459.05   3418.71
16:00:37    459.75   3423.95
16:00:37    462.88   3447.25
16:00:37    400.14   2980.00
16:00:37    442.47   3295.24
16:00:37    453.31   3375.95
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:37    453.49   3382.79
16:00:37    459.03   3413.06
16:00:38    450.11   3352.14
16:00:38    430.85   3208.70
16:00:38    430.81   3208.41
16:00:38    459.63   3423.07
16:00:38    462.69   3445.80
16:00:38    462.77   3446.39
16:00:38    461.21   3434.78
16:00:38    342.58   2556.77
16:00:38      0.00      0.00
16:00:38     26.17    140.39
16:00:39    259.61   1933.43
16:00:39    438.91   3263.21
16:00:39    462.29   3442.83
16:00:39    459.30   3420.59
16:00:39    434.17   3233.46
16:00:39    460.55   3429.88
16:00:39    457.19   3404.87
16:00:39    455.92   3395.44
16:00:39    459.76   3424.02
16:00:40    460.49   3429.47
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:40    432.44   3220.53
16:00:40    445.68   3319.13
16:00:40    455.36   3391.25
16:00:40    458.30   3418.68
16:00:40    463.10   3443.33
16:00:40    460.48   3429.33
16:00:40    429.44   3203.73
16:00:40    425.55   3163.68
16:00:40    463.57   3457.90
16:00:41    465.83   3463.72
16:00:41    461.31   3435.53
16:00:41    444.76   3312.33
16:00:41    423.28   3157.85
16:00:41    461.72   3438.61
16:00:41    438.27   3258.45
16:00:41    461.25   3435.08
16:00:41    458.80   3416.87
16:00:41    464.71   3460.89
16:00:41    459.12   3419.23
16:00:42    464.02   3455.73
16:00:42    457.39   3406.33
16:00:42    444.37   3309.39
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:42    453.68   3378.69
16:00:42    399.02   2971.63
16:00:42    455.26   3395.98
16:00:42    454.47   3379.07
16:00:42    452.75   3371.81
16:00:42    456.11   3396.79
16:00:42    450.17   3352.58
16:00:43    447.77   3340.25
16:00:43    455.03   3383.30
16:00:43    418.24   3114.82
16:00:43    449.85   3350.21
16:00:43    454.53   3385.09
16:00:43    459.93   3425.29
16:00:43    438.88   3268.47
16:00:43    461.88   3445.32
16:00:43    461.17   3428.99
16:00:43    459.07   3418.88
16:00:44    454.38   3383.91
16:00:44    413.58   3080.05
16:00:44    419.85   3126.78
16:00:44    458.93   3417.79
16:00:44    450.04   3351.61
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:44    461.80   3439.16
16:00:44    458.98   3418.17
16:00:44    458.94   3417.90
16:00:44    437.52   3258.35
16:00:44    458.96   3418.03
16:00:45    461.20   3434.71
16:00:45    456.75   3401.56
16:00:45    364.22   2717.97
16:00:45    325.57   2419.10
16:00:45    444.98   3313.95
16:00:45    458.57   3415.18
16:00:45    459.51   3427.66
16:00:45    432.17   3213.20
16:00:45    443.84   3305.43
16:00:45    460.47   3429.30
16:00:46    448.46   3339.85
16:00:46    456.81   3402.04
16:00:46    439.02   3269.57
16:00:46    458.97   3423.65
16:00:46    456.77   3396.25
16:00:46    463.39   3451.01
16:00:46    436.14   3248.10
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:46    461.90   3439.95
16:00:46    464.15   3462.20
16:00:46    461.04   3428.03
16:00:47    459.78   3424.13
16:00:47    458.88   3422.96
16:00:47    410.94   3060.45
16:00:47    459.56   3417.01
16:00:47    408.34   3041.06
16:00:47    430.90   3209.05
16:00:47    449.57   3348.13
16:00:47    456.86   3407.89
16:00:47    449.24   3345.66
16:00:47    443.61   3303.71
16:00:48    436.76   3252.71
16:00:48    453.10   3368.85
16:00:48    432.98   3230.04
16:00:48    460.74   3431.32
16:00:48    378.69   2814.72
16:00:48    411.19   3062.26
16:00:48    443.31   3301.50
